County,Registration Valid Date,Vehicle Name
Oakland,10/28/17,Chevrolet Volt
Livingston,10/28/17,Chevrolet Volt
Kalamazoo,10/28/17,Ford Fusion Energi
Wayne,10/28/17,Ford C-Max Energi
Oakland,10/28/17,Chevrolet Volt
Washtenaw,10/28/17,Tesla Model S
Oakland,10/27/17,Tesla Model S
Oakland,10/27/17,Cadillac ELR
Oakland,10/27/17,Fisker Karma
Kalamazoo,10/27/17,Toyota Prius Plug-in
Ingham,10/27/17,Chevrolet Volt
Ottawa,10/27/17,Chevrolet Volt
Wayne,10/26/17,Ford Fusion Energi
Midland,10/26/17,Chevrolet Volt
Washtenaw,10/26/17,Nissan Leaf
Kent,10/26/17,Chevrolet Volt
Kent,10/26/17,Chevrolet Volt
Oakland,10/26/17,Chevrolet Volt
Macomb,10/27/17,Chevrolet Volt
Clinton,10/27/17,Chevrolet Volt
Jackson,10/27/17,Chevrolet Volt
Oakland,10/27/17,Chevrolet Volt
Kent,10/27/17,Chevrolet Volt
Oakland,10/27/17,Ford C-Max Energi
Oakland,10/27/17,Chevrolet Volt
Macomb,10/27/17,Chevrolet Volt
Saginaw,10/27/17,Tesla Model S
Oakland,10/27/17,Chevrolet Volt
Genesee,10/27/17,Chevrolet Volt
Oakland,10/27/17,Chevrolet Volt
Kent,11/6/17,Ford Fusion Energi
Oakland,11/6/17,Tesla Model X
Oakland,11/6/17,Chevrolet Volt
Oakland,11/6/17,Tesla Model S
Oakland,11/6/17,Chevrolet Volt
Livingston,11/6/17,Chevrolet Volt
Washtenaw,11/6/17,Chevrolet Volt
Oakland,11/6/17,Ford Fusion Energi
Macomb,11/6/17,Tesla Model X
Oakland,11/6/17,Ford C-Max Energi
Oakland,11/6/17,Chevrolet Volt
Oakland,11/6/17,Chevrolet Volt
Washtenaw,11/6/17,Chevrolet Volt
Kalamazoo,11/6/17,Chevrolet Bolt EV
Wayne,11/6/17,Ford Fusion Energi
Ingham,11/6/17,Chevrolet Volt
Ionia,11/6/17,Ford C-Max Energi
Wayne,11/6/17,Ford C-Max Energi
Wayne,11/6/17,Chevrolet Volt
Oakland,11/6/17,Chevrolet Volt
Wayne,11/6/17,Chevrolet Volt
Wayne,11/6/17,Ford C-Max Energi
Wayne,11/6/17,Chevrolet Volt
Wayne,11/6/17,Ford C-Max Energi
Kalamazoo,11/4/17,Ford C-Max Energi
Van Buren,11/4/17,Tesla Roadster
Oakland,11/4/17,Chevrolet Volt
Oakland,11/5/17,Ford C-Max Energi
Oakland,11/4/17,Chevrolet Volt
Ingham,11/4/17,Ford C-Max Energi
Oakland,11/4/17,Ford C-Max Energi
Wayne,11/4/17,Ford C-Max Energi
Washtenaw,11/4/17,Ford C-Max Energi
Ingham,11/4/17,Ford C-Max Energi
Oakland,11/4/17,Chevrolet Volt
Washtenaw,11/4/17,Chevrolet Volt
Shiawassee,11/5/17,Chevrolet Volt
Ottawa,11/5/17,Chevrolet Volt
Washtenaw,11/5/17,Ford Fusion Energi
Jackson,11/5/17,Cadillac ELR
Macomb,11/5/17,BMW X5
Van Buren,11/5/17,Ford C-Max Energi
Monroe,11/5/17,Ford C-Max Energi
Kalamazoo,11/5/17,Ford C-Max Energi
Oakland,11/5/17,Ford C-Max Energi
Livingston,11/5/17,Ford C-Max Energi
Washtenaw,11/5/17,Ford C-Max Energi
Kent,11/5/17,Chevrolet Volt
Ingham,11/6/17,Ford Fusion Energi
Oakland,11/7/17,Tesla Model S
Oakland,11/7/17,Chevrolet Volt
Houghton,11/7/17,Ford C-Max Energi
Genesee,11/7/17,Chevrolet Volt
Ingham,11/7/17,Ford C-Max Energi
Livingston,11/7/17,Chevrolet Volt
Oakland,11/7/17,Ford C-Max Energi
Oakland,11/7/17,Tesla Model S
Wayne,11/7/17,Chevrolet Volt
Oakland,11/7/17,Chevrolet Volt
Berrien,11/7/17,Ford Fusion Energi
St. Joseph,11/7/17,Chevrolet Volt
Oakland,11/7/17,Chevrolet Volt
