"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","vehicle_cnt","station_cnt"
"TX","Harris",311430719,291723832,284905380,153938,376
"TX","Harrison",3314207,3087061,2986984,1240,3
"TX","Hays",14326908,12521811,11335317,15006,48
"TX","Henderson",4065751,3700538,3478135,1508,2
"TX","Hidalgo",30374915,27336762,24428598,11444,14
"TX","Hill",1822365,1659210,1555073,763,4
"TX","Hockley",1123404,1052274,987192,944,5
"TX","Hood",3911877,3570028,3350515,2546,3
"TX","Hopkins",1870658,1693092,1592076,615,1
"TX","Howard",1740771,1634203,1640804,354,1
"TX","Hunt",4838988,4344500,4039320,2011,1
"TX","Jackson",785860,719238,714656,68,1
"TX","Jasper",1631430,1540030,1476486,316,1
"TX","Jeff Davis",115580,106160,101540,86,1
"TX","Jefferson",12239448,11710811,11201120,3593,5
"TX","Jim Wells",1977009,1834591,1700770,203,1
"TX","Johnson",9667250,8625367,7973194,5209,7
"TX","Kaufman",7808582,6803648,6197865,4148,7
"TX","Kendall",4521032,4179972,4077065,4718,5
"TX","Kerr",3264115,3023699,2859066,1648,8
"TX","Kimble",237216,218443,204834,37,4
"TX","Kleberg",1403639,1302797,1259649,1498,4
"TX","Lamar",2539934,2341940,2169885,732,1
"TX","Lampasas",1301889,1203980,1125475,522,2
"TX","Lee",1003462,956555,952556,221,1
"TX","Leon",848685,760628,723094,209,1
"TX","Live Oak",524862,483104,461181,183,2
"TX","Llano",1311848,1205745,1144364,934,4
"TX","Lubbock",15999431,14926650,14078519,5601,9
"TX","Madison",560509,495964,459261,123,2
"TX","Matagorda",1845376,1723779,1661839,364,2
"TX","Maverick",2232152,2049750,1883020,552,1
"TX","McCulloch",344593,320094,310193,43,1
"TX","McLennan",13027403,11956868,11000967,6793,10
"TX","Medina",2603003,2381312,2240221,1371,1
"TX","Midland",21288003,18788666,24411344,2660,5
"TX","Mills",231669,219019,198238,84,1
"TX","Mitchell",321233,300871,292811,17,1
"TX","Montgomery",44756112,41520917,39946816,25017,41
"TX","Moore",1195988,1071712,1009088,119,2
"TX","Nacogdoches",2990626,2718938,2567449,828,2
"TX","Navarro",2444624,2210198,2049649,690,2
"TX","Nolan",768228,698186,672864,128,2
"TX","Nueces",18661085,17354128,16689389,6268,19
"TX","Ochiltree",628463,552721,594253,70,1
"TX","Orange",4144861,3978309,3839928,914,1
"TX","Parker",10245737,9162758,8462292,5943,6
"TX","Pecos",660065,621861,629468,87,2
"TX","Polk",2490838,2313862,2140497,565,1
"TX","Potter",6499175,6131166,5629486,1311,6
"TX","Presidio",379304,338748,312910,69,2
"TX","Randall",8110571,7508592,6992146,3824,7
"TX","Real",156700,143318,130756,53,1
"TX","Reeves",765078,707834,761016,56,4
"TX","Robertson",896972,796308,752722,132,1
"TX","Rockwall",8243591,7302790,6826058,6277,9
"TX","San Patricio",3581951,3264581,3128937,1164,1
"TX","Smith",14298554,13068217,13103925,5138,11
"TX","Starr",2307314,2074547,1808023,357,1
"TX","Tarrant",125334153,115364800,110587518,83872,197
"TX","Taylor",8358224,7337215,6710260,2695,3
"TX","Titus",1496999,1356973,1224322,355,1
"TX","Tom Green",7150002,6717160,6218582,2284,4
"TX","Travis",106640894,95888612,93065302,130334,594
"TX","Uvalde",1316998,1197715,1114719,214,1
"TX","Val Verde",2218485,2023777,1904875,733,1
"TX","Van Zandt",2760114,2487483,2315291,1358,2
"TX","Victoria",5319509,4944484,4859450,1176,5
"TX","Walker",2600169,2412874,2280231,779,7
"TX","Waller",2953411,2712100,2521924,1058,1
"TX","Ward",616783,577475,653618,76,1
"TX","Washington",2199924,2116631,1993554,879,4
"TX","Webb",10945472,9960505,9279652,2813,8
"TX","Wharton",2209032,2011987,1938113,510,2
"TX","Wheeler",245887,231835,218836,87,1
"TX","Wichita",6530766,6100214,5808044,1919,6
"TX","Wilbarger",763255,685939,662998,62,1
"TX","Williamson",40466221,35215215,32098860,37390,65
"TX","Wilson",2858211,2604321,2485229,942,1
"TX","Wise",3863290,3469210,3245482,1531,1
