"income_yr_2019","income_yr_2020","income_yr_2021","stations_count"
36810079,39836549,42542562,99
66827823,72337321,76078975,417
48737617,53046033,56715558,232
423798,472386,504199,1
313149,348761,371990,1
5515414,6078318,6455677,28
1147418,1254882,1327789,6
284775,321997,343158,1
2860986,3125860,3335488,3
4499337,4913457,5190073,11
842421,939555,996503,8
7676620,8367859,9133397,23
1666460,1854414,2038966,2
5439319,6007726,6395035,27
2375575,2632037,2885207,3
1406829,1538697,1630498,6
1039542,1170361,1238104,4
1325672,1484819,1580974,6
1075801,1201768,1264660,5
3799306,4103681,4346107,10
493898,554667,582504,3
1476267,1628560,1713278,2
1217380,1319528,1426912,1
4792459,5235057,5528137,10
1987382,2167134,2287109,17
17132439,18810409,19967292,15
974210,1056286,1123085,1
607456,665209,699451,2
4986132,5476112,5788755,11
1520186,1699515,1796738,4
1636469,1803582,1929549,2
1391960,1516256,1634636,3
1426483,1634970,1743057,4
12062817,13278123,14090337,42
2297203,2567224,2744939,3
993026,1110398,1190266,5
511511,550883,577713,1
2539951,2810494,2959189,11
6418551,7073091,7602801,15
13301075,14377431,15281103,52
655090,744630,784051,5
35774431,38630987,40701778,81
103299,116269,125562,1
407750,459012,479871,1
3957230,4363115,4605655,1
1565577,1675187,1774944,17
4030272,4376511,4643933,1
11480491,12150450,12848055,10
41724363,45600016,47572705,34
1009801,1112164,1178490,8
2704665,2962462,3164369,5
1218047,1347559,1431915,9
1481612,1648543,1768433,5
4586226,4886998,5178900,9
7361611,7812877,8308581,8
2289007,2548481,2728570,5
352154,396159,402849,2
6954757,7763881,8243256,18
1890261,2108464,2243075,2
92591351,98014193,102822763,161
1043946,1167855,1233901,3
726096,826297,886678,3
236290,263059,279099,1
895959,991952,1043586,2
286058,309754,331851,1
1034860,1171352,1247262,7
14613150,15880229,16775381,33
519010,582599,617174,6
894190,1001044,1052099,5
8022129,8811841,9341904,18
7328543,8075798,8451582,8
2355597,2641428,2806988,1
1571613,1792358,1909618,6
2770941,3046259,3225843,8
3162185,3459023,3689815,6
22920571,24022427,25372530,97
77687754,85095541,89823224,158
1273021,1412278,1515262,7
660348,735314,782512,1
19098500,20405742,21799730,14
1688702,1817461,1977441,1
1991262,2183969,2357623,4
3125181,3397021,3591074,11
1369240,1480025,1565023,4
1583270,1691959,1813074,3
1426873,1560557,1730839,6
601022,655172,709234,2
483084,546624,580523,4
2890063,3066585,3308745,1
2817703,3100273,3361291,2
296402,315387,332030,7
3035369,3282721,3650084,6
26800374,28219544,30026160,37
2006560,2182725,2350713,6
591837,681831,757984,4
930122,1041179,1105504,2
1388339,1528100,1654000,6
2596932,2728608,2922844,3
98218241,103051074,108370243,240
1080087,1149568,1240158,1
1888105,2057608,2228920,3
2041955,2170028,2323951,3
712636,797529,839219,1
2274013,2438109,2553585,3
519561,547633,591793,5
1443928,1558885,1676982,1
1268539,1386248,1474334,1
1766838,1943019,2082453,3
1034549,1112344,1219107,2
1046403,1160038,1255935,2
1149212,1249499,1346141,4
1428162,1601681,1707389,1
1841277,2025086,2221525,4
1731107,1851690,1956650,4
980503,1155582,1198038,2
9486593,10134592,10780039,19
2834499,3111645,3344444,2
501204,545538,569077,1
30189079,32105704,34004783,95
702868,827717,897023,3
3029887,3245044,3466996,9
473722,550173,558963,2
9664918,10305449,11015352,17
9409054,9923316,10612721,11
4745218,5088549,5482889,5
7721137,8416443,9013966,3
1739547,1885632,2060764,3
465611,546076,565846,4
1075746,1104503,1187892,1
547500,613484,657531,3
18493845,19425036,20890951,13
7327375,7827515,8510542,3
1090057,1165053,1233358,2
1351461,1435602,1520108,2
8067098,8751951,9616947,8
2879862,3142298,3337206,1
766122,832007,895938,2
1752934,1929038,2062172,3
7993850,8769558,9328779,16
9350679,10066003,10557825,7
5558626,6041612,6471560,1
2410651,2550115,2720422,9
2645817,2853117,3080003,3
2977558,3199122,3331833,5
3710604,4001569,4285289,5
1101455,1227115,1330040,1
1369525,1453715,1561529,1
2394732,2586218,2740995,5
7098596,7637298,8069560,6
2459778,2650497,2791191,4
346062,378394,401337,2
1766136,1901298,1993997,8
1153028,1283202,1382181,2
2140014,2283043,2441733,1
1267609,1379954,1497431,1
7111022,7632000,8100003,2
335352,387761,406297,2
982093,1074991,1150410,2
1861749,2000413,2101131,2
1679210,1860420,1979849,1
842994,906432,954467,5
810436,860968,912569,1
237322,263410,283573,1
1264642,1337267,1431802,1
652178,714548,754056,2
751127,790241,857978,2
8958993,9511565,10132341,9
3485708,3688671,3887632,50
1532382,1705893,1818531,1
1774144,1934103,2061854,6
1824398,1974447,2335953,5
3553020,3798983,4001548,7
5223969,5557988,5922682,20
450853,496396,532693,1
3758289,4048489,4438492,2
12378962,13318149,14339156,74
3752168,4024673,4241757,5
701180,759019,810954,1
4829864,5143504,5467013,1
13640054,14395013,15410189,40
305263,340275,357313,7
916575,1003395,1086415,7
1415806,1528218,1613318,2
339336,367209,387438,3
33331217,35800892,38074198,431
4870411,5065994,5401445,7
9977235,10589665,11249989,11
2030147,2167703,2519398,10
140202,154577,163693,1
1309349,1408124,1491069,1
1402103,1519809,1624131,9
1337045,1427240,1528579,1
355562,386330,418228,4
2499166,2698109,2936797,1
591404,637838,679754,1
625133,680730,724086,2
1173920,1262581,1349028,1
2322287,2487638,2683650,19
718304,790189,830698,6
572635,632281,713651,3
810263,867186,917227,1
1615412,1753543,1887013,8
1763650,1879200,1986433,3
655021,710579,755658,3
372251,398687,425783,3
6177962,6515725,6923549,73
1136470,1209425,1317592,4
2220555,2372951,2408743,4
968408,1071849,1143016,4
992290,1054368,1123772,3
22377245,23617441,25316986,13
286324,321912,343828,1
73833723,77638743,81598794,102
868182,972321,1026282,4
1573435,1699523,1806868,5
1281572,1385170,1478073,1
2114988,2248080,2402094,20
720190,791799,829488,5
1569035,1686321,1825949,3
757951,818475,875171,1
459049,497780,518390,3
574751,615511,647725,2
3978270,4264931,4543743,6
536046,577196,602175,1
402211,423918,422572,2
5298087,5842590,6394934,17
7041367,7794566,8623749,10
512858,567348,567380,6
153822,164148,173872,1
1249213,1393045,1485923,2
3555933,3864887,4101582,5
762304,846757,898616,1
566311,606569,664035,5
179302,203108,223395,2
6320989,6845372,7396782,15
2182335,2364358,2588450,1
1690880,1799900,1937120,2
191326,204594,215383,1
8649634,9254834,9930988,8
1571899,1676768,1801786,2
306753,356749,399022,1
2819680,2976095,3109066,10
1420698,1514932,1645863,1
456680,489347,502467,2
320295,357081,388477,1
583601,650778,646663,1
526106,591641,612372,1
890564,946764,1035621,5
330298,362112,386015,1
1072549,1155650,1186598,4
75777,79559,85964,1
251715,280476,300226,1
1791441,1935368,2088837,4
36702154,37889789,40189574,64
882653,959577,1040652,5
100398,118607,140576,1
1059418,1137349,1250232,2
2750028,2959562,3196032,9
507637,566802,617024,3
301385,337950,365455,1
380767,428188,483339,1
378573,406688,433772,4
16360544,17381227,18426485,39
1739515,1846279,1996238,2
1843736,1975675,2126201,4
337497,364276,401395,3
