"statecode_of_county","county","income_yr_2021","income_yr_2020","income_yr_2019","ev_count"
"TX","Rockwall",8243591,7302790,6826058,6277
"TX","Runnels",510148,464904,441237,108
"TX","Rusk",2366770,2188827,2092031,463
"TX","Sabine",450751,417864,384641,28
"TX","San Augustine",400640,360394,358640,74
"TX","San Jacinto",1295689,1198982,1136358,601
"TX","San Patricio",3581951,3264581,3128937,1164
"TX","San Saba",254842,238289,252193,36
"TX","Schleicher",125761,121269,117651,56
"TX","Scurry",793053,756921,753462,104
"TX","Shackelford",298957,276540,299246,37
"TX","Shelby",1308023,1127083,1057363,46
"TX","Sherman",344000,266117,279248,57
"TX","Smith",14298554,13068217,13103925,5138
"TX","Somervell",519147,469464,444728,268
"TX","Starr",2307314,2074547,1808023,357
"TX","Stephens",444876,411823,416361,16
"TX","Sterling",90961,82799,81636,30
"TX","Sutton",227123,217249,244645,20
"TX","Swisher",508943,411642,401283,97
"TX","Tarrant",125334153,115364800,110587518,83872
"TX","Taylor",8358224,7337215,6710260,2695
"TX","Terry",533081,502643,457617,57
"TX","Titus",1496999,1356973,1224322,355
"TX","Tom Green",7150002,6717160,6218582,2284
"TX","Travis",106640894,95888612,93065302,130334
"TX","Trinity",651271,603934,564561,154
"TX","Tyler",835456,787208,721163,147
"TX","Upshur",1809169,1669954,1609587,326
"TX","Upton",201108,182929,171425,20
"TX","Uvalde",1316998,1197715,1114719,214
"TX","Val Verde",2218485,2023777,1904875,733
"TX","Van Zandt",2760114,2487483,2315291,1358
"TX","Victoria",5319509,4944484,4859450,1176
"TX","Walker",2600169,2412874,2280231,779
"TX","Waller",2953411,2712100,2521924,1058
"TX","Ward",616783,577475,653618,76
"TX","Washington",2199924,2116631,1993554,879
"TX","Webb",10945472,9960505,9279652,2813
"TX","Wharton",2209032,2011987,1938113,510
"TX","Wheeler",245887,231835,218836,87
"TX","Wichita",6530766,6100214,5808044,1919
"TX","Wilbarger",763255,685939,662998,62
"TX","Willacy",767783,663458,597925,101
"TX","Williamson",40466221,35215215,32098860,37390
"TX","Wilson",2858211,2604321,2485229,942
"TX","Winkler",490723,469238,522992,47
"TX","Wise",3863290,3469210,3245482,1531
"TX","Wood",2181189,2013316,1875100,847
"TX","Young",1053496,959853,934130,257
"TX","Zapata",462973,414643,416821,65
"TX","Zavala",418241,386495,358601,24
"FL","Gulf",707378,648206,605963,55
